[2023-07-02 22:10:22,729] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:11:15,685] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:11:15,696] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1179
[2023-07-02 22:12:14,113] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:12:17,595] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:12:17,647] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1179
[2023-07-02 22:12:47,948] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:12:51,155] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:12:51,205] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1179
[2023-07-02 22:13:12,386] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:17:04,054] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:17:04,106] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1179
[2023-07-02 22:19:16,743] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 490
[2023-07-02 22:19:20,179] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 63
[2023-07-02 22:20:37,484] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-02 22:20:41,923] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-02 22:20:41,963] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 1179
[2023-07-02 22:20:42,123] INFO in tasks: Celery post urls - [https://posredniksadovod.ru, https://postelnoe-3d.ru, https://posterboom.ru, https://postoperator.ru, https://potensia-shop.ru, https://potok-relax.ru, https://potolki-design-spb.ru, https://potolki-kirov.ru, https://potolki88.ru, https://potolkikrasnodar.ru, https://potolkipenza.ru, https://potrendim.ru, https://potter-style.ru, https://poverim.ru, https://poverka-siz.ru, https://poverkasiz.ru, https://power-greg.ru, https://powerok.ru, https://pozitivplus.ru, https://pp-progress.ru, https://praktikum-treningi-kursy-seminary.ru, https://pravilo-spb.ru, https://pravobiznesa.ru, https://pravoslavmaster.ru, https://prazdnik-42.ru, http://httpbin.org/delay/3, https://github.com/miguelgrinberg/Flask-SocketIO, https://github.com/miguelgrinberg/Flask-SocketIO.git, https://github.com/ZOMini/notifications_sprint, https://github.com/ZOMini?tab=repositories]
[2023-07-02 22:20:59,838] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 4470
[2023-07-02 22:29:11,334] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-02 22:29:13,110] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-02 22:29:16,464] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 60
[2023-07-02 22:29:16,474] INFO in tasks: Celery post urls - []
[2023-07-02 22:31:56,213] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-02 22:37:12,648] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 60
[2023-07-02 22:37:12,656] INFO in tasks: Celery post urls - []
